 Genre,IMDB Rating,Plot,Run Time,Title,Tomatometer
"Crime, Drama, Sci-Fi",8.3,"In future Britain, Alex DeLarge, a charismatic and psycopath delinquent, who likes to practice crimes and ultra-violence with his gang, is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.",136 min,A Clockwork Orange,90
"Adventure, Drama, Sci-Fi",7.1,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",146 min,A.I. Artificial Intelligence,73
"Horror, Sci-Fi",8.5,"After a space merchant vessel perceives an unknown transmission as distress call, their landing on the source moon finds one of the crew attacked by a mysterious lifeform. Continuing their journey back to Earth with the attacked crew having recovered and the critter deceased, they soon realize that its life cycle has merely begun.",117 min,Alien,97
"Animation, Comedy, Drama",7.3,A man crippled by the mundanity of his life experiences something out of the ordinary.,90 min,Anomalisa,92
"Drama, War",7.8,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",137 min,Beasts of No Nation,91
"Action, Crime, Thriller",6.5,An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,88 min,Blood Father,89
"Drama, History, Thriller",7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",142 min,Bridge of Spies,91
Horror,7.4,"Carrie White, a shy, friendless 17 year-old girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.",98 min,Carrie,93
"Biography, Crime, Drama",8.0,"The true story of Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars' worth of checks as a Pan Am pilot, doctor, and legal prosecutor.",141 min,Catch Me If You Can,96
"Drama, Mystery",8.4,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",119 min,Citizen Kane,100
"Crime, Drama",8.7,"Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.",130 min,City of God,90
"Drama, Sci-Fi",7.5,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",172 min,Cloud Atlas,66
"Animation, Family, Fantasy",7.7,"An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",100 min,Coraline,90
"Action, Horror, Thriller",7.4,"A nurse, a policeman, a young married couple, a salesman, and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",101 min,Dawn of the Dead,75
"Drama, Sci-Fi, Thriller",8.1,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",113 min,Donnie Darko,85
"Action, Sci-Fi",7.1,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",95 min,Dredd,78
"Action, Adventure, Drama",8.5,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",155 min,Gladiator,76
"Action, Adventure, Fantasy",5.5,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",126 min,Gods of Egypt,16
"Biography, Crime, Drama",8.7,Henry Hill and his friends work their way up through the mob hierarchy.,146 min,Goodfellas,96
"Mystery, Thriller",6.7,"Twin boys move to a new home with their mother after she has face changing cosmetic surgery, but under her bandages is someone the children don't recognize.",99 min,Goodnight Mommy,86
"Drama, Music",7.8,"A hip-hop mogul must choose a successor among his three sons who are battling for control over his multi-million dollar company, while his ex-wife schemes to reclaim what is hers.",42 min,Empire,N/A
"Horror, Mystery, Thriller",6.8,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,103 min,Insidious,66
"Drama, Horror, Mystery",7.2,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,116 min,Let Me In,88
"Horror, Thriller",6.2,A young couple take in their two nieces only to suspect that a foreboding evil has latched itself to their family.,100 min,Mama,65
"Adventure, Drama, Mystery",6.7,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.",112 min,Midnight Special,84
"Horror, Mystery",6.2,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,110 min,Mirrors,14
"Drama, Mystery, Thriller",8.0,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",147 min,Mulholland Drive,82
"Fantasy, Horror",8.0,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,81 min,Nosferatu,97
"Horror, Mystery, Thriller",7.0,A husband and wife who recently lost their baby adopt a nine year-old girl who is not nearly as innocent as she claims to be.,123 min,Orphan,55
"Drama, Fantasy, War",8.2,"In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",118 min,Pan's Labyrinth,95
Talk-Show,N/A,N/A,N/A,Pirates of the Carribean,N/A
"Fantasy, Horror",7.4,A family's home is haunted by a host of ghosts.,114 min,Poltergeist,88
"Drama, Horror",8.0,"A young couple move into an apartment, only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life.",137 min,Rosemary's Baby,99
"Biography, Drama, History",8.9,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.",195 min,Schindler's List,96
"Animation, Adventure, Comedy",7.4,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",85 min,Shaun the Sheep Movie,99
"Crime, Drama, Thriller",7.1,A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.,106 min,Side Effects,83
"Crime, Drama, Thriller",8.6,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.,118 min,The Silence of the Lambs,95
"Drama, Thriller, War",7.5,"In the horror of 1944 Auschwitz, a prisoner forced to burn the corpses of his own people finds moral survival upon trying to salvage from the flames the body of a boy he takes for his son.",107 min,Son of Saul,96
"Animation, Adventure, Family",8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125 min,Spirited Away,97
