 Genre,IMDB Rating,Plot,Run Time,Title,Tomatometer
Drama,9,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,51 min,House of Cards,N/A
"Action, Crime, Drama",8.2,A former superhero decides to reboot her life by becoming a private investigator.,56 min,Jessica Jones,N/A
Comedy,8.2,"The personal and professional life of Dev, a 30-year-old actor in New York.",30 min,Master of None,N/A
"Biography, Crime, Drama",8.9,A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar.,49 min,Narcos,N/A
"Drama, Fantasy, Horror",8.2,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.",60 min,Penny Dreadful,N/A
"Crime, Drama, Mystery",9.2,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,88 min,Sherlock,N/A
Comedy,8.5,"In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success. A comedy partially inspired by Mike Judge's own ...",28 min,Silicon Valley,N/A
"Drama, Fantasy, Horror",9,"When a young boy disappears, his mother, a police chief, and his friends must confront terrifying forces in order to get him back.",55 min,Stranger Things,N/A
"Drama, Sci-Fi, Thriller",8.1,A glimpse into an alternate history of North America. What life after WWII may have been like if the Nazis had won the war.,60 min,The Man in the High Castle,N/A
"Action, Drama, History",8.6,"The world of the Vikings is brought to life through the journey of Ragnar Lothbrok, the first Viking to emerge from Norse legend and onto the pages of history - a man on the edge of myth.",44 min,Vikings,N/A
"Drama, Mystery, Sci-Fi",9.2,A series inspired by the 1973 film of the same title written by Michael Crichton about a futuristic theme park populated by artificial beings.,60 min,Westworld,N/A
"Adventure, Drama, Mystery",7.6,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.,42 min,12 Monkeys,N/A
"Biography, Crime, Drama",8.5,"An anthology series centered around some of history's most famous criminals, including O.J Simpson.",42 min,The People v. O.J. Simpson: American Crime Story,N/A
"Drama, Horror, Thriller",8.2,"An anthology series that centers on different characters and locations, including a murder house, an asylum, a coven, a freak show, a hotel and a sinister farmhouse.",60 min,American Horror Story,N/A
"Drama, Horror, Mystery",8.1,"Centers on a mother and son who come to a new town so that they can start over and set up a new business, but a lot of mysterious incidents happen, including the unanswered and horrible acts of the son.",45 min,Bates Motel,N/A
"Crime, Drama",8.7,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time leading up to establishing his strip-mall law office in Albuquerque, New Mexico.",46 min,Better Call Saul,N/A
"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,49 min,Breaking Bad,N/A
"Action, Crime, Drama",8.8,"Matt Murdock, with his other senses superhumanly enhanced, fights crime as a blind lawyer by day, and vigilante by night.",54 min,Daredevil,N/A
"Animation, Comedy",8.3,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",22 min,Family Guy,N/A
"Crime, Drama, Thriller",9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, ND.",53 min,Fargo,N/A
"Adventure, Drama, Sci-Fi",9.1,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",44 min,Firefly,N/A
"Drama, Fantasy, Horror",7.8,A homicide detective discovers he is a descendant of hunters who fight supernatural forces.,45 min,Grimm,N/A
"Crime, Drama, Horror",8.6,"Explores the early relationship between the renowned psychiatrist and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.",44 min,Hannibal,N/A
"Crime, Drama, Mystery",8.4,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,55 min,Homeland,N/A
"Drama, Horror, Thriller",8.6,"Sheriff Deputy Rick Grimes leads a group of survivors in a world overrun by the walking dead. Fighting the dead, fearing the living.",44 min,The Walking Dead,N/A
"Drama, Sci-Fi, Thriller",8.9,A television anthology series that shows the dark side of life and technology.,60 min,Black Mirror,N/A
"Crime, Drama, Mystery",9.1,"An anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55 min,True Detective,N/A
"Drama, Fantasy, Horror",6.9,"Supernatural detective John Constantine helps a detective prove her sisters death was not a suicide, but something more.",121 min,Constantine,46
"Drama, Horror, Mystery",7.3,"An anthology series telling the stories of Creepypastas, Internet short form horror stories, including Candle Cove and the No-End House.",44 min,Channel Zero,N/A
"Horror, Thriller",8.3,"When the Rance family are plagued by a demonic presence, two priests must come together, in the hopes of defeating the evil force.",45 min,The Exorcist,N/A
"Action, Comedy, Fantasy",8.6,"Ash has spent the last 30 years avoiding responsibility, maturity and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.",30 min,Ash vs Evil Dead,N/A
"Drama, Mystery, Sci-Fi",8.3,A high school teacher travels back in time to prevent John F. Kennedy's assassination.,60 min,11.22.36,N/A
